Method	Domain	Class	Crude Oil	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Control_S	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Metazoa	Collembola					0	39	0														39	0	0	0	0
Environmental	Metazoa	Turbellaria					0	0	27														27	0	0	0	0
Environmental	Metazoa	(en blanco)					10	0	0														10	0	0	0	0
Environmental	Plantae	Bryopsida					0	107	0														107	0	0	0	0
Environmental	Plantae	Chlorophyceae					33	168	0														201	0	0	0	0
Environmental	Plantae	Magnoliopsida					196	0	44														240	0	0	0	0
Environmental	Plantae	Polypodiopsida					91	0	142														233	0	0	0	0
Environmental	Plantae	Trebouxiophyceae					22	162	0							4	6	0	6	14			184	0	20	0	10
Environmental	Protozoa	Lobosa					0	34	20														54	0	0	0	0
Environmental	Protozoa	Phytomastigophora					0	0	7														7	0	0	0	0
