Method	Domain	Order	Crude Oil	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Control_S	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Archaea	Methanopyrales														0	3	0	4	0			0	0	4	0	3
Environmental	Archaea	Methanosarcinales														10	23	4	16	12			0	0	32	0	33
Environmental	Archaea	Methanotrichales														0	4	0	0	0			0	0	0	0	4
Environmental	Archaea	Nitrososphaerales														67	61	4	3	9			0	0	16	0	128
Environmental	Archaea	Sulfolobales														6	10	2	10	4			0	0	16	0	16
Environmental	Archaea	Thermococcales														6	15	0	9	6			0	0	15	0	21
Environmental	Archaea	Thermofilales														2	0	1	0	0			0	0	1	0	2
Environmental	Archaea	Thermoplasmatales														1	2	1	2	4			0	0	7	0	3
Environmental	Archaea	Thermoproteales														1	13	0	0	1			0	0	1	0	14
Environmental	Archaea	unclassified (derived from Archaea)														0	3	1	11	8			0	0	20	0	3
Environmental	Archaea	unclassified (derived from Crenarchaeota)														0	1	0	0	0			0	0	0	0	1
Environmental	Archaea	unclassified (derived from Euryarchaeota)														0	1	0	6	6			0	0	12	0	1
Environmental	Archaea	unclassified (derived from Thaumarchaeota)														27	31	0	1	3			0	0	4	0	58
Environmental	Bacteria	Acetivibrionales														2	7	0	3	5			0	0	8	0	9
Environmental	Bacteria	Acetobacterales					1028	480	0							17	97	24	104	78			1508	0	206	0	114
Environmental	Bacteria	Acholeplasmatales														1	0	5	0	0			0	0	5	0	1
Environmental	Bacteria	Acidaminococcales														1	16	2	0	1			0	0	3	0	17
Environmental	Bacteria	Acidimicrobiales														0	10	1	5	0			0	0	6	0	10
Environmental	Bacteria	Acidithiobacillales														5	7	3	9	10			0	0	22	0	12
Environmental	Bacteria	Acidobacteriales					2055	802	3064							24	150	6	25	12			5921	0	43	0	174
Environmental	Bacteria	Acidothermales					3880	1395	3299							0	12	1	7	0			8574	0	8	0	12
Environmental	Bacteria	Actinomycetales														29	123	17	56	41			0	0	114	0	152
Environmental	Bacteria	Alicyclobacillales														2	12	1	2	0			0	0	3	0	14
Environmental	Bacteria	Ammonifexales														4	25	1	5	11			0	0	17	0	29
Environmental	Bacteria	Aquificales														3	15	0	17	9			0	0	26	0	18
Environmental	Bacteria	Azospirillales														0	1	1	0	1			0	0	2	0	1
Environmental	Bacteria	Babeliales					0	24	97														121	0	0	0	0
Environmental	Bacteria	Bacillales														50	217	49	134	126			0	0	309	0	267
Environmental	Bacteria	Bacteroidales														22	200	32	124	320			0	0	476	0	222
Environmental	Bacteria	Bdellovibrionales					0	12	146														158	0	0	0	0
Environmental	Bacteria	Beggiatoales														9	28	3	8	10			0	0	21	0	37
Environmental	Bacteria	Borreliales														1	5	2	5	4			0	0	11	0	6
Environmental	Bacteria	Brachyspirales														2	12	0	5	10			0	0	15	0	14
Environmental	Bacteria	Bryobacterales					205	297	510							28	127	2	12	19			1012	0	33	0	155
Environmental	Bacteria	Burkholderiales					163	784	1647							170	586	258	618	641			2594	0	1517	0	756
Environmental	Bacteria	Caldicellulosiruptorales														4	19	0	25	11			0	0	36	0	23
Environmental	Bacteria	Campylobacterales														5	26	61	69	36			0	0	166	0	31
Environmental	Bacteria	Carboxydothermales														2	13	0	4	8			0	0	12	0	15
Environmental	Bacteria	Cardiobacteriales														0	6	1	10	10			0	0	21	0	6
Environmental	Bacteria	Caulobacterales					180	179	205							32	171	92	272	500			564	0	864	0	203
Environmental	Bacteria	Chitinophagales					200	409	793							16	28	8	7	57			1402	0	72	0	44
Environmental	Bacteria	Chlamydiales					7	138	237							6	5	4	13	12			382	0	29	0	11
Environmental	Bacteria	Chloracidobacteriales														1	1	0	1	0			0	0	1	0	2
Environmental	Bacteria	Chlorobiales														27	116	12	47	52			0	0	111	0	143
Environmental	Bacteria	Chloroflexales														74	295	9	48	53			0	0	110	0	369
Environmental	Bacteria	Chromatiales														6	12	2	16	17			0	0	35	0	18
Environmental	Bacteria	Chrysiogenales														2	7	1	4	6			0	0	11	0	9
Environmental	Bacteria	Chthoniobacterales					216	1554	218							13	50	4	6	27			1988	0	37	0	63
Environmental	Bacteria	Chthonomonadales					0	0	96														96	0	0	0	0
Environmental	Bacteria	Clostridiales														36	105	11	69	56			0	0	136	0	141
Environmental	Bacteria	Coprothermobacterales														0	6	0	0	1			0	0	1	0	6
Environmental	Bacteria	Coriobacteriales														6	17	1	3	9			0	0	13	0	23
Environmental	Bacteria	Coxiellales					28	0	0							2	5	3	23	22			28	0	48	0	7
Environmental	Bacteria	Cyanobacteriales														205	251	33	144	147			0	0	324	0	456
Environmental	Bacteria	Cytophagales					0	0	94							26	153	32	100	229			94	0	361	0	179
Environmental	Bacteria	Deferribacterales														4	14	6	8	7			0	0	21	0	18
Environmental	Bacteria	Dehalococcoidales														11	33	4	4	5			0	0	13	0	44
Environmental	Bacteria	Deinococcales														37	113	1	44	34			0	0	79	0	150
Environmental	Bacteria	Desulfarculales														7	14	0	3	4			0	0	7	0	21
Environmental	Bacteria	Desulfitobacteriales														0	17	2	9	2			0	0	13	0	17
Environmental	Bacteria	Desulfobacterales														14	43	2	23	32			0	0	57	0	57
Environmental	Bacteria	Desulfobulbales														2	26	4	6	14			0	0	24	0	28
Environmental	Bacteria	Desulfotomaculales														8	29	1	10	11			0	0	22	0	37
Environmental	Bacteria	Desulfovibrionales														27	100	24	54	54			0	0	132	0	127
Environmental	Bacteria	Desulfurobacteriales														0	8	1	1	4			0	0	6	0	8
Environmental	Bacteria	Desulfuromonadales														11	55	13	17	33			0	0	63	0	66
Environmental	Bacteria	Dethiobacterales														1	11	2	0	1			0	0	3	0	12
Environmental	Bacteria	Dictyoglomales														3	6	0	6	1			0	0	7	0	9
Environmental	Bacteria	Ectothiorhodospirales														17	34	12	39	32			0	0	83	0	51
Environmental	Bacteria	Elsterales					1905	782	330														3017	0	0	0	0
Environmental	Bacteria	Elusimicrobiales														0	3	0	1	3			0	0	4	0	3
Environmental	Bacteria	Enterobacterales														145	522	7290	3594	2395			0	0	13279	0	667
Environmental	Bacteria	Erysipelotrichales														1	6	1	6	4			0	0	11	0	7
Environmental	Bacteria	Eubacteriales														6	6	6	11	10			0	0	27	0	12
Environmental	Bacteria	Exiguobacterales														0	4	2	2	7			0	0	11	0	4
Environmental	Bacteria	Fibrobacterales														0	2	0	1	4			0	0	5	0	2
Environmental	Bacteria	Fimbriimonadales					0	0	120														120	0	0	0	0
Environmental	Bacteria	Flavobacteriales					975	646	1561							58	225	169	373	681			3182	0	1223	0	283
Environmental	Bacteria	Francisellales														1	9	8	35	28			0	0	71	0	10
Environmental	Bacteria	Fusobacteriales														3	34	15	38	16			0	0	69	0	37
Environmental	Bacteria	Gaiellales					315	586	765														1666	0	0	0	0
Environmental	Bacteria	Gemmatales					488	283	656							0	0	0	0	1			1427	0	1	0	0
Environmental	Bacteria	Gemmatimonadales					168	422	830							1	1	0	1	0			1420	0	1	0	2
Environmental	Bacteria	Geobacterales														44	116	26	45	59			0	0	130	0	160
Environmental	Bacteria	Gloeobacterales														0	0	0	0	1			0	0	1	0	0
Environmental	Bacteria	Halanaerobiales														5	28	3	3	7			0	0	13	0	33
Environmental	Bacteria	Haliangiales					54	303	123							13	62	6	8	28			480	0	42	0	75
Environmental	Bacteria	Halobacteroidales														0	13	0	6	3			0	0	9	0	13
Environmental	Bacteria	Haloplasmatales														0	3	0	0	1			0	0	1	0	3
Environmental	Bacteria	Halothiobacillales														3	9	3	9	7			0	0	19	0	12
Environmental	Bacteria	Heliobacteriales														0	14	1	3	5			0	0	9	0	14
Environmental	Bacteria	Hydrogenothermales														0	7	2	9	13			0	0	24	0	7
Environmental	Bacteria	IMCC26256					1171	273	550														1994	0	0	0	0
Environmental	Bacteria	Isosphaerales					176	184	169							11	45	3	3	13			529	0	19	0	56
Environmental	Bacteria	Ktedonobacterales					3184	1857	1898							14	52	0	5	13			6939	0	18	0	66
Environmental	Bacteria	Kyrpidiales														6	16	1	6	7			0	0	14	0	22
Environmental	Bacteria	Lachnospirales														10	39	3	21	10			0	0	34	0	49
Environmental	Bacteria	Lactobacillales														27	71	66	52	31			0	0	149	0	98
Environmental	Bacteria	Legionellales					20	0	0							9	27	7	32	31			20	0	70	0	36
Environmental	Bacteria	Lentisphaerales														7	36	0	14	24			0	0	38	0	43
Environmental	Bacteria	Leptospirales														5	14	2	17	14			0	0	33	0	19
Environmental	Bacteria	Leptospirillales														11	33	0	3	8			0	0	11	0	44
Environmental	Bacteria	Magnetococcales														5	20	7	17	15			0	0	39	0	25
Environmental	Bacteria	Mariprofundales														0	9	3	11	2			0	0	16	0	9
Environmental	Bacteria	Methylacidiphilales														0	5	0	3	3			0	0	6	0	5
Environmental	Bacteria	Methylococcales														11	33	12	34	35			0	0	81	0	44
Environmental	Bacteria	Methylophilales														0	0	2	8	7			0	0	17	0	0
Environmental	Bacteria	Micropepsales					366	79	260														705	0	0	0	0
Environmental	Bacteria	Microtrichales					0	241	0														241	0	0	0	0
Environmental	Bacteria	Moorellales														5	27	0	4	5			0	0	9	0	32
Environmental	Bacteria	Mycobacteriales					701	1214	1055							106	505	38	150	171			2970	0	359	0	611
Environmental	Bacteria	Mycoplasmatales														0	1	1	1	2			0	0	4	0	1
Environmental	Bacteria	Myxococcales					0	0	289							42	171	22	37	77			289	0	136	0	213
Environmental	Bacteria	Nannocystales														13	42	2	7	18			0	0	27	0	55
Environmental	Bacteria	Natranaerobiales														0	6	2	5	1			0	0	8	0	6
Environmental	Bacteria	Nautiliales														0	1	2	3	2			0	0	7	0	1
Environmental	Bacteria	Nitrococcales														23	70	23	35	49			0	0	107	0	93
Environmental	Bacteria	Nitrosococcales														21	71	32	63	67			0	0	162	0	92
Environmental	Bacteria	Nitrospirales														2	0	0	0	0			0	0	0	0	2
Environmental	Bacteria	Obscuribacterales					0	0	64														64	0	0	0	0
Environmental	Bacteria	Oligoflexales					0	0	50														50	0	0	0	0
Environmental	Bacteria	Opitutales					49	42	0							4	41	4	27	55			91	0	86	0	45
Environmental	Bacteria	Oscillospirales														0	19	5	12	11			0	0	28	0	19
Environmental	Bacteria	Paenibacillales														7	89	6	14	21			0	0	41	0	96
Environmental	Bacteria	Parvibaculales														9	44	17	84	73			0	0	174	0	53
Environmental	Bacteria	Pedosphaerales					1114	2113	3250							8	47	1	12	23			6477	0	36	0	55
Environmental	Bacteria	Pelagibacterales														4	8	385	1971	924			0	0	3280	0	12
Environmental	Bacteria	Peptostreptococcales														4	14	3	21	16			0	0	40	0	18
Environmental	Bacteria	Petrotogales														2	5	1	3	6			0	0	10	0	7
Environmental	Bacteria	Pirellulales					63	0	0							26	173	6	9	71			63	0	86	0	199
Environmental	Bacteria	Planctomycetales					0	0	50							39	208	9	35	93			50	0	137	0	247
Environmental	Bacteria	Polyangiales					0	150	0							0	3	0	0	1			150	0	1	0	3
Environmental	Bacteria	Propionibacteriales					0	101	0							4	62	7	15	31			101	0	53	0	66
Environmental	Bacteria	PS1														4	2	0	10	3			0	0	13	0	6
Environmental	Bacteria	Pseudomonadales					1031	0	65							148	494	985	1036	1067			1096	0	3088	0	642
Environmental	Bacteria	Puniceispirillales														4	17	34	134	53			0	0	221	0	21
Environmental	Bacteria	Rhizobiales					2166	3413	2988							231	816	393	1568	1175			8567	0	3136	0	1047
Environmental	Bacteria	Rhodobacterales														180	737	335	1241	1471			0	0	3047	0	917
Environmental	Bacteria	Rhodospirillales														18	60	30	101	83			0	0	214	0	78
Environmental	Bacteria	Rhodothermales														22	127	5	22	41			0	0	68	0	149
Environmental	Bacteria	Rickettsiales														3	22	25	170	97			0	0	292	0	25
Environmental	Bacteria	Rubrobacterales														6	31	1	5	6			0	0	12	0	37
Environmental	Bacteria	Saccharimonadales					22	50	0														72	0	0	0	0
Environmental	Bacteria	Selenomonadales														5	25	0	2	8			0	0	10	0	30
Environmental	Bacteria	Silvanigrellales					0	0	7														7	0	0	0	0
Environmental	Bacteria	Solirubrobacterales					1706	1040	514							4	24	1	2	5			3260	0	8	0	28
Environmental	Bacteria	Sphingobacteriales					44	85	148							9	71	20	61	122			277	0	203	0	80
Environmental	Bacteria	Sphingomonadales														22	105	67	213	246			0	0	526	0	127
Environmental	Bacteria	Sporomusales														0	9	2	2	0			0	0	4	0	9
Environmental	Bacteria	Staphylococcales														4	13	25	20	15			0	0	60	0	17
Environmental	Bacteria	Streptomycetales														38	231	28	44	67			0	0	139	0	269
Environmental	Bacteria	Streptosporangiales														17	75	1	26	17			0	0	44	0	92
Environmental	Bacteria	Subgroup 13					379	194	11														584	0	0	0	0
Environmental	Bacteria	Subgroup 2					585	237	1090														1912	0	0	0	0
Environmental	Bacteria	Subgroup 5					159	102	122														383	0	0	0	0
Environmental	Bacteria	Subgroup 7					0	222	0														222	0	0	0	0
Environmental	Bacteria	Synechococcales														26	85	225	1042	535			0	0	1802	0	111
Environmental	Bacteria	Synergistales														4	25	2	3	7			0	0	12	0	29
Environmental	Bacteria	Syntrophales														6	29	3	6	7			0	0	16	0	35
Environmental	Bacteria	Syntrophobacterales														6	26	1	13	11			0	0	25	0	32
Environmental	Bacteria	Syntrophomonadales														0	18	0	8	8			0	0	16	0	18
Environmental	Bacteria	Tepidisphaerales					164	100	505														769	0	0	0	0
Environmental	Bacteria	Thermaerobacterales														10	27	2	2	7			0	0	11	0	37
Environmental	Bacteria	Thermincolales														1	8	2	2	0			0	0	4	0	9
Environmental	Bacteria	Thermoactinomycetales														0	2	0	0	0			0	0	0	0	2
Environmental	Bacteria	Thermoanaerobacterales														12	53	10	59	43			0	0	112	0	65
Environmental	Bacteria	Thermobaculales														7	32	3	7	10			0	0	20	0	39
Environmental	Bacteria	Thermodesulfovibrionales														1	6	0	6	2			0	0	8	0	7
Environmental	Bacteria	Thermomicrobiales														25	63	3	8	4			0	0	15	0	88
Environmental	Bacteria	Thermosediminibacterales														2	11	0	3	1			0	0	4	0	13
Environmental	Bacteria	Thermosynechococcales														83	168	31	123	118			0	0	272	0	251
Environmental	Bacteria	Thermotogales														10	25	3	18	7			0	0	28	0	35
Environmental	Bacteria	Thiomicrospirales														2	6	12	13	16			0	0	41	0	8
Environmental	Bacteria	Tissierellales														3	4	4	14	9			0	0	27	0	7
Environmental	Bacteria	Treponematales														1	11	2	1	6			0	0	9	0	12
Environmental	Bacteria	unclassified (derived from Acidobacteria)														1	4	0	0	0			0	0	0	0	5
Environmental	Bacteria	unclassified (derived from Alphaproteobacteria)														0	0	0	5	4			0	0	9	0	0
Environmental	Bacteria	unclassified (derived from Bacteria)														17	73	69	249	162			0	0	480	0	90
Environmental	Bacteria	unclassified (derived from Bacteroidetes)														2	6	7	10	28			0	0	45	0	8
Environmental	Bacteria	unclassified (derived from Betaproteobacteria)														0	3	0	14	6			0	0	20	0	3
Environmental	Bacteria	unclassified (derived from Chloroflexi)														2	9	1	0	0			0	0	1	0	11
Environmental	Bacteria	unclassified (derived from Cyanobacteria)														0	0	0	2	1			0	0	3	0	0
Environmental	Bacteria	unclassified (derived from Deltaproteobacteria)														13	50	6	17	19			0	0	42	0	63
Environmental	Bacteria	unclassified (derived from Flavobacteriia)														9	34	26	65	93			0	0	184	0	43
Environmental	Bacteria	unclassified (derived from Gammaproteobacteria)														40	156	117	318	247			0	0	682	0	196
Environmental	Bacteria	unclassified (derived from Poribacteria)														14	20	0	0	0			0	0	0	0	34
Environmental	Bacteria	unclassified (derived from Proteobacteria)														0	0	0	14	10			0	0	24	0	0
Environmental	Bacteria	unclassified (derived from Verrucomicrobia)														0	5	0	1	0			0	0	1	0	5
Environmental	Bacteria	Veillonellales														10	11	1	10	9			0	0	20	0	21
Environmental	Bacteria	Verrucomicrobiales														3	13	1	2	4			0	0	7	0	16
Environmental	Bacteria	Vicinamibacterales					97	369	242														708	0	0	0	0
Environmental	Bacteria	Victivallales														3	8	2	0	1			0	0	3	0	11
Environmental	Bacteria	Xanthomonadales					0	65	76							23	67	25	78	82			141	0	185	0	90
Environmental	Bacteria	(en blanco)					2534	1938	4558														9030	0	0	0	0
Environmental	Bacteria	(en blanco)														93	371	1070	4647	2201			0	0	7918	0	464
Environmental	Chromista	Cercomonadida					0	9	0														9	0	0	0	0
Environmental	Chromista	Hymenostomatida					27	0	0														27	0	0	0	0
Environmental	Chromista	Naviculales					42	0	0														42	0	0	0	0
Environmental	Chromista	(en blanco)					0	0	39														39	0	0	0	0
Environmental	Fungi	Agaricales					1102	7829	6782							8	7	3	7	9			15713	0	19	0	15
Environmental	Fungi	Amphisphaeriales					111	96	9														216	0	0	0	0
Environmental	Fungi	Annulatascales					0	188	0														188	0	0	0	0
Environmental	Fungi	Arachnomycetales					0	0	3														3	0	0	0	0
Environmental	Fungi	Archaeorhizomycetales					73	42	1134														1249	0	0	0	0
Environmental	Fungi	Atractiellales					0	32	0														32	0	0	0	0
Environmental	Fungi	Auriculariales					566	770	236														1572	0	0	0	0
Environmental	Fungi	Botryosphaeriales					74	162	0														236	0	0	0	0
Environmental	Fungi	Cantharellales					207	0	0														207	0	0	0	0
Environmental	Fungi	Capnodiales					2510	1460	277							0	2	0	0	0			4247	0	0	0	2
Environmental	Fungi	Chaetosphaeriales					9	0	13														22	0	0	0	0
Environmental	Fungi	Chaetothyriales					616	2014	3204														5834	0	0	0	0
Environmental	Fungi	Chytridiales					0	24	0														24	0	0	0	0
Environmental	Fungi	Coniochaetales					0	19158	0														19158	0	0	0	0
Environmental	Fungi	Cystofilobasidiales					287	0	0														287	0	0	0	0
Environmental	Fungi	Diaporthales					1701	89	10														1800	0	0	0	0
Environmental	Fungi	Dissociodihaplophasida														2	1	0	2	1			0	0	3	0	3
Environmental	Fungi	Distoseptisporales					16	0	0														16	0	0	0	0
Environmental	Fungi	Diversisporales					37	0	17														54	0	0	0	0
Environmental	Fungi	Dothideales					43	0	99														142	0	0	0	0
Environmental	Fungi	Erysiphales					0	187	2166														2353	0	0	0	0
Environmental	Fungi	Erythrobasidiales					50	0	0														50	0	0	0	0
Environmental	Fungi	Eurotiales					8548	3692	205							17	108	4	5	14			12445	0	23	0	125
Environmental	Fungi	Filobasidiales					537	0	29														566	0	0	0	0
Environmental	Fungi	Glomerales					114	905	380														1399	0	0	0	0
Environmental	Fungi	Glomerellales					102	33	0							3	1	0	0	0			135	0	0	0	4
Environmental	Fungi	Helotiales					27562	6588	98047							1	5	0	0	3			132197	0	3	0	6
Environmental	Fungi	Hymenochaetales					0	812	0														812	0	0	0	0
Environmental	Fungi	Hypocreales					2070	2278	308							1	8	1	2	1			4656	0	4	0	9
Environmental	Fungi	Hysteriales					0	51	0														51	0	0	0	0
Environmental	Fungi	Kickxellales					0	40	0														40	0	0	0	0
Environmental	Fungi	Kriegeriales					241	143	0														384	0	0	0	0
Environmental	Fungi	Lecanorales					0	42	25														67	0	0	0	0
Environmental	Fungi	Leucosporidiales					1386	246	0														1632	0	0	0	0
Environmental	Fungi	Magnaporthales					234	0	0							0	1	0	1	0			234	0	1	0	1
Environmental	Fungi	Malasseziales					64	0	65							2	3	0	2	0			129	0	2	0	5
Environmental	Fungi	Medeolariales					60	0	0														60	0	0	0	0
Environmental	Fungi	Mortierellales					19088	9971	2756														31815	0	0	0	0
Environmental	Fungi	Mucorales					83	0	27														110	0	0	0	0
Environmental	Fungi	Neocallimastigales														0	1	0	0	0			0	0	0	0	1
Environmental	Fungi	Onygenales														5	63	2	5	6			0	0	13	0	68
Environmental	Fungi	Ophiostomatales					0	85	0							1	2	0	0	0			85	0	0	0	3
Environmental	Fungi	Ostropales					0	0	49														49	0	0	0	0
Environmental	Fungi	Paraglomerales					0	1232	11														1243	0	0	0	0
Environmental	Fungi	Pezizales					34	0	56														90	0	0	0	0
Environmental	Fungi	Phaeomoniellales					0	59	0														59	0	0	0	0
Environmental	Fungi	Pleosporales					15102	2794	511							1	7	0	1	0			18407	0	1	0	8
Environmental	Fungi	Pneumocystales														0	0	0	1	0			0	0	1	0	0
Environmental	Fungi	Polyporales					73	0	0							1	1	0	0	0			73	0	0	0	2
Environmental	Fungi	Pucciniales														2	0	0	0	1			0	0	1	0	2
Environmental	Fungi	Rhizophydiales					0	174	24														198	0	0	0	0
Environmental	Fungi	Rhytismatales					271	0	2611														2882	0	0	0	0
Environmental	Fungi	Russulales					0	0	22														22	0	0	0	0
Environmental	Fungi	Saccharomycetales					2364	3866	329							7	31	1	5	11			6559	0	17	0	38
Environmental	Fungi	Sebacinales					0	0	1289														1289	0	0	0	0
Environmental	Fungi	Sordariales					386	1520	2498							3	7	2	1	3			4404	0	6	0	10
Environmental	Fungi	Spizellomycetales					0	0	22														22	0	0	0	0
Environmental	Fungi	Sporidiobolales					374	56	0														430	0	0	0	0
Environmental	Fungi	Thelebolales					41814	7064	357														49235	0	0	0	0
Environmental	Fungi	Togniniales					0	129	0														129	0	0	0	0
Environmental	Fungi	Trechisporales					328	3735	1881														5944	0	0	0	0
Environmental	Fungi	Tremellales					895	3843	691							0	1	2	1	4			5429	0	7	0	1
Environmental	Fungi	Trichosporonales					25044	2448	46														27538	0	0	0	0
Environmental	Fungi	Umbelopsidales					0	1132	38														1170	0	0	0	0
Environmental	Fungi	Ustilaginales					0	94	0							0	0	1	3	0			94	0	4	0	0
Environmental	Fungi	Venturiales					45	90	0														135	0	0	0	0
Environmental	Fungi	Xylariales					136	186	0														322	0	0	0	0
Environmental	Fungi	(en blanco)					2722	28865	29042														60629	0	0	0	0
Environmental	Fungi	(en blanco)														0	5	0	0	0			0	0	0	0	5
Environmental	Metazoa	Entomobryomorpha					0	39	0														39	0	0	0	0
Environmental	Metazoa	Rhabditida					8	0	0														8	0	0	0	0
Environmental	Metazoa	(en blanco)					10	0	27														37	0	0	0	0
Environmental	Plantae	Cucurbitales					161	0	44														205	0	0	0	0
Environmental	Plantae	Cyatheales					91	0	142														233	0	0	0	0
Environmental	Plantae	Dicranales					0	107	0														107	0	0	0	0
Environmental	Plantae	Fabales					35	0	0														35	0	0	0	0
Environmental	Plantae	Prasiolales														4	6	0	6	14			0	0	20	0	10
Environmental	Plantae	Trebouxiales					22	61	0														83	0	0	0	0
Environmental	Plantae	Volvocales					33	168	0														201	0	0	0	0
Environmental	Plantae	(en blanco)					0	101	0														101	0	0	0	0
Environmental	Protozoa	Amoebida					0	34	20														54	0	0	0	0
Environmental	Protozoa	Ebriida					0	0	7														7	0	0	0	0
